
Date/Time,Temp(C),RH(%),Light(lux),HCHO(mg/m3)

Date/Time,Temp(C),RH(%),Light(lux),HCHO(mg/m3)
09/07/18 16:36:00,24.848,56.289,9.57,0.000
09/07/18 16:37:00,25.187,51.757,159.96,0.000
09/07/18 16:38:00,25.075,51.766,177.58,0.000
09/07/18 16:39:00,25.048,51.960,191.51,0.000
09/07/18 16:40:00,24.992,52.171,191.39,0.000
09/07/18 16:41:00,25.005,52.160,185.28,0.000
09/07/18 16:42:00,25.019,52.134,190.46,0.000
09/07/18 16:43:00,25.005,51.955,192.11,0.000
09/07/18 16:44:00,25.005,52.055,191.62,0.000
09/07/18 16:45:00,25.005,52.045,191.62,0.000
09/07/18 16:46:00,25.005,51.872,191.62,0.000
09/07/18 16:47:00,24.992,51.832,185.23,0.000
09/07/18 16:48:00,25.019,51.919,183.32,0.000
09/07/18 16:49:00,25.005,51.972,191.84,0.000
09/07/18 16:50:00,25.019,52.146,191.68,0.000
09/07/18 16:51:00,25.019,52.073,191.68,0.000
09/07/18 16:52:00,25.005,51.995,191.51,0.000
09/07/18 16:53:00,25.019,51.958,191.35,0.000
09/07/18 16:54:00,25.005,51.978,191.84,0.000
09/07/18 16:55:00,25.019,51.965,191.84,0.000
09/07/18 16:56:00,25.005,51.894,192.00,0.000
09/07/18 16:57:00,24.992,51.904,192.00,0.000
09/07/18 16:58:00,24.949,51.926,191.84,0.000
09/07/18 16:59:00,24.976,51.850,192.16,0.000
09/07/18 17:00:00,24.963,51.887,192.33,0.000
09/07/18 17:01:00,24.949,51.862,192.06,0.000
09/07/18 17:02:00,24.949,51.814,192.00,0.000
09/07/18 17:03:00,24.949,51.858,192.06,0.000
09/07/18 17:04:00,24.933,51.809,192.06,0.000
09/07/18 17:05:00,24.949,51.890,192.00,0.000
09/07/18 17:06:00,24.917,51.814,192.16,0.000
09/07/18 17:07:00,24.933,51.785,192.00,0.000
09/07/18 17:08:00,24.949,51.798,192.16,0.000
09/07/18 17:09:00,24.917,51.771,192.06,0.000
09/07/18 17:10:00,24.917,51.722,192.22,0.000
09/07/18 17:11:00,24.917,51.695,192.22,0.000
09/07/18 17:12:00,24.917,51.679,192.22,0.000
09/07/18 17:13:00,24.904,51.653,192.33,0.000
09/07/18 17:14:00,24.917,51.647,192.22,0.000
09/07/18 17:15:00,24.917,51.608,192.22,0.000
09/07/18 17:16:00,24.904,51.647,192.39,0.000
09/07/18 17:17:00,24.933,51.608,192.39,0.000
09/07/18 17:18:00,24.917,51.608,192.22,0.000
09/07/18 17:19:00,24.917,51.608,192.22,0.000
09/07/18 17:20:00,24.933,51.571,192.22,0.000
09/07/18 17:21:00,24.904,51.630,192.22,0.000
09/07/18 17:22:00,24.891,51.579,192.22,0.000
09/07/18 17:23:00,24.891,51.579,192.16,0.000
09/07/18 17:24:00,24.904,51.571,192.06,0.000
09/07/18 17:25:00,24.904,51.543,192.22,0.000
