
Date/Time,Temp(C),RH(%),Light(lux),HCHO(mg/m3)
09/07/18 16:37:00,26.156,46.662,113.57,0.000
09/07/18 16:38:00,25.748,47.597,166.89,0.000
09/07/18 16:39:00,25.537,48.275,170.02,0.000
09/07/18 16:40:00,25.449,48.783,169.63,0.000
09/07/18 16:41:00,25.379,48.939,162.71,0.000
09/07/18 16:42:00,25.323,49.029,160.83,0.000
09/07/18 16:43:00,25.264,49.062,170.83,0.000
09/07/18 16:44:00,25.224,49.241,170.22,0.000
09/07/18 16:45:00,25.238,49.331,169.96,0.000
09/07/18 16:46:00,25.208,49.303,169.79,0.000
09/07/18 16:47:00,25.139,49.368,170.28,0.000
09/07/18 16:48:00,25.139,49.477,162.73,0.000
09/07/18 16:49:00,25.139,49.491,169.85,0.000
09/07/18 16:50:00,25.139,49.717,170.34,0.000
09/07/18 16:51:00,25.152,49.729,170.18,0.000
09/07/18 16:52:00,25.126,49.642,170.02,0.000
09/07/18 16:53:00,25.126,49.712,170.18,0.000
09/07/18 16:54:00,25.112,49.639,170.61,0.000
09/07/18 16:55:00,25.096,49.657,170.07,0.000
09/07/18 16:56:00,25.096,49.624,170.45,0.000
09/07/18 16:57:00,25.083,49.657,170.61,0.000
09/07/18 16:58:00,25.056,49.697,170.34,0.000
09/07/18 16:59:00,25.056,49.697,170.40,0.000
09/07/18 17:00:00,25.027,49.642,170.40,0.000
09/07/18 17:01:00,25.056,49.653,170.83,0.000
09/07/18 17:02:00,25.040,49.665,170.24,0.000
09/07/18 17:03:00,25.027,49.689,170.50,0.000
09/07/18 17:04:00,25.027,49.676,170.40,0.000
09/07/18 17:05:00,25.027,49.740,170.67,0.000
09/07/18 17:06:00,25.027,49.676,170.50,0.000
09/07/18 17:07:00,25.013,49.712,170.40,0.000
09/07/18 17:08:00,25.040,49.688,170.50,0.000
09/07/18 17:09:00,25.027,49.648,170.56,0.000
09/07/18 17:10:00,24.997,49.688,170.99,0.000
09/07/18 17:11:00,25.027,49.570,170.73,0.000
09/07/18 17:12:00,25.027,49.587,170.56,0.000
09/07/18 17:13:00,25.027,49.548,170.99,0.000
09/07/18 17:14:00,24.997,49.574,170.99,0.000
09/07/18 17:15:00,25.013,49.584,170.56,0.000
09/07/18 17:16:00,25.040,49.612,170.83,0.000
09/07/18 17:17:00,25.027,49.612,170.73,0.000
09/07/18 17:18:00,24.997,49.638,171.16,0.000
09/07/18 17:19:00,24.997,49.574,170.73,0.000
09/07/18 17:20:00,24.997,49.593,170.73,0.000
09/07/18 17:21:00,24.984,49.596,170.99,0.000
09/07/18 17:22:00,25.013,49.551,170.73,0.000
09/07/18 17:23:00,24.971,49.621,170.40,0.000
09/07/18 17:24:00,24.997,49.543,170.67,0.000
09/07/18 17:25:00,25.013,49.584,170.40,0.000
09/07/18 17:26:00,24.971,49.570,170.56,0.000
09/07/18 17:27:00,24.997,49.583,170.67,0.000
09/07/18 17:28:00,24.971,49.442,170.83,0.000
09/07/18 17:29:00,24.984,49.560,170.83,0.000
09/07/18 17:30:00,24.971,49.493,170.56,0.000
09/07/18 17:31:00,24.971,49.520,170.24,0.000
09/07/18 17:32:00,24.957,49.551,170.99,0.000
09/07/18 17:33:00,24.984,49.570,170.99,0.000
09/07/18 17:34:00,24.957,49.557,170.99,0.000
09/07/18 17:35:00,24.971,49.529,170.73,0.000
09/07/18 17:36:00,24.971,49.493,170.89,0.000
09/07/18 17:37:00,24.971,49.493,170.99,0.000
09/07/18 17:38:00,24.971,49.557,170.83,0.000
09/07/18 17:39:00,24.957,49.541,170.99,0.000
09/07/18 17:40:00,24.957,49.491,170.89,0.000
09/07/18 17:41:00,24.971,49.493,170.56,0.000
09/07/18 17:42:00,24.984,49.468,170.99,0.000
09/07/18 17:43:00,24.957,49.532,170.67,0.000
09/07/18 17:44:00,24.971,49.516,170.56,0.000
09/07/18 17:45:00,24.971,49.505,170.83,0.000
09/07/18 17:46:00,24.984,49.468,170.83,0.000
09/07/18 17:47:00,24.971,49.442,170.56,0.000
09/07/18 17:48:00,24.925,49.557,170.73,0.000
09/07/18 17:49:00,24.925,49.465,170.56,0.000
09/07/18 17:50:00,24.957,49.493,170.56,0.000
09/07/18 17:51:00,24.925,49.468,170.40,0.000
09/07/18 17:52:00,24.957,49.438,170.40,0.000
09/07/18 17:53:00,24.984,49.418,170.67,0.000
09/07/18 17:54:00,24.957,49.442,170.67,0.000
09/07/18 17:55:00,24.971,49.432,170.83,0.000
09/07/18 17:56:00,24.957,49.395,170.56,0.000
09/07/18 17:57:00,24.941,49.392,170.40,0.000
09/07/18 17:58:00,24.925,49.377,170.56,0.000
09/07/18 17:59:00,24.957,49.351,170.56,0.000
09/07/18 18:00:00,24.957,49.363,170.56,0.000
09/07/18 18:01:00,24.957,49.368,170.83,0.000
09/07/18 18:02:00,24.957,49.331,171.16,0.000
09/07/18 18:03:00,24.957,49.331,171.05,0.000
09/07/18 18:04:00,24.941,49.303,170.73,0.000
09/07/18 18:05:00,24.984,49.381,170.67,0.000
09/07/18 18:06:00,24.971,49.332,170.18,0.000
09/07/18 18:07:00,24.957,49.317,170.02,0.000
09/07/18 18:08:00,24.957,49.290,170.12,0.000
09/07/18 18:09:00,24.971,49.351,170.28,0.000
09/07/18 18:10:00,24.941,49.395,170.61,0.000
09/07/18 18:11:00,24.925,49.351,170.34,0.000
09/07/18 18:12:00,24.957,49.282,170.34,0.000
09/07/18 18:13:00,24.971,49.258,170.45,0.000
09/07/18 18:14:00,24.971,49.239,170.45,0.000
09/07/18 18:15:00,24.925,49.253,170.18,0.000
09/07/18 18:16:00,24.941,49.255,170.18,0.000
09/07/18 18:17:00,24.912,49.267,170.34,0.000
09/07/18 18:18:00,24.941,49.195,170.18,0.000
09/07/18 18:19:00,24.957,49.239,170.18,0.000
09/07/18 18:20:00,24.912,49.273,170.61,0.000
09/07/18 18:21:00,24.899,49.296,170.61,0.000
09/07/18 18:22:00,24.925,49.296,170.34,0.000
09/07/18 18:23:00,24.899,49.313,170.50,0.000
09/07/18 18:24:00,24.883,49.294,170.07,0.000
09/07/18 18:25:00,24.883,49.397,170.61,0.000
09/07/18 18:26:00,24.883,49.271,170.45,0.000
09/07/18 18:27:00,24.899,49.381,170.02,0.000
09/07/18 18:28:00,24.883,49.369,170.45,0.000
09/07/18 18:29:00,24.869,49.342,170.28,0.000
09/07/18 18:30:00,24.899,49.381,170.34,0.000
09/07/18 18:31:00,24.899,49.291,170.28,0.000
09/07/18 18:32:00,24.869,49.319,170.18,0.000
09/07/18 18:33:00,24.883,49.381,170.18,0.000
09/07/18 18:34:00,24.869,49.364,170.28,0.000
09/07/18 18:35:00,24.883,49.404,170.18,0.000
09/07/18 18:36:00,24.899,49.271,170.28,0.000
09/07/18 18:37:00,24.883,49.314,170.28,0.000
09/07/18 18:38:00,24.856,49.354,170.18,0.000
09/07/18 18:39:00,24.869,49.392,170.34,0.000
09/07/18 18:40:00,24.856,49.354,170.07,0.000
09/07/18 18:41:00,24.856,49.427,170.45,0.000
09/07/18 18:42:00,24.842,49.404,170.28,0.000
09/07/18 18:43:00,24.869,49.381,170.02,0.000
09/07/18 18:44:00,24.856,49.328,170.18,0.000
09/07/18 18:45:00,24.869,49.331,170.18,0.000
09/07/18 18:46:00,24.856,49.427,170.02,0.000
09/07/18 18:47:00,24.856,49.328,170.18,0.000
09/07/18 18:48:00,24.883,49.328,170.28,0.000
09/07/18 18:49:00,24.826,49.342,170.02,0.000
09/07/18 18:50:00,24.883,49.305,170.18,0.000
09/07/18 18:51:00,24.856,49.308,170.02,0.000
09/07/18 18:52:00,24.869,49.319,169.85,0.000
09/07/18 18:53:00,24.842,49.314,170.02,0.000
09/07/18 18:54:00,24.869,49.345,170.28,0.000
09/07/18 18:55:00,24.856,49.310,170.28,0.000
09/07/18 18:56:00,24.842,49.305,170.45,0.000
09/07/18 18:57:00,24.869,49.340,170.02,0.000
09/07/18 18:58:00,24.883,49.364,169.85,0.000
09/07/18 18:59:00,24.842,49.342,170.45,0.000
09/07/18 19:00:00,24.856,49.328,170.07,0.000
09/07/18 19:01:00,24.869,49.340,170.02,0.000
09/07/18 19:02:00,24.869,49.328,170.45,0.000
09/07/18 19:03:00,24.842,49.413,170.02,0.000
09/07/18 19:04:00,24.842,49.378,170.45,0.000
09/07/18 19:05:00,24.856,49.381,170.02,0.000
09/07/18 19:06:00,24.869,49.368,170.02,0.000
09/07/18 19:07:00,24.869,49.427,170.12,0.000
09/07/18 19:08:00,24.883,49.364,170.12,0.000
09/07/18 19:09:00,24.869,49.427,170.02,0.000
09/07/18 19:10:00,24.842,49.427,170.45,0.000
09/07/18 19:11:00,24.842,49.427,170.45,0.000
